,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2680316,8853336,HV526734,10/19/2012 08:15:00 PM,056XX W ROOSEVELT RD,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1513,15.0,29.0,25.0,05,1138770.0,1894115.0,2012,02/04/2016 06:33:39 AM,41.865571994,-87.766047167,"(41.865571994, -87.766047167)"
3335892,10026882,HY216401,04/10/2015 01:15:00 AM,012XX W HOLLYWOOD AVE,0460,BATTERY,SIMPLE,STREET,False,False,2013,20.0,48.0,77.0,08B,1167191.0,1938015.0,2015,08/17/2015 03:03:40 PM,41.98547325,-87.660447458,"(41.98547325, -87.660447458)"
3137432,9606986,HX257134,05/11/2014 05:00:00 AM,076XX S SAGINAW AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,421,4.0,7.0,43.0,08B,1195249.0,1854864.0,2014,02/04/2016 06:33:39 AM,41.75665407,-87.560009363,"(41.75665407, -87.560009363)"
2729683,8932316,HV604195,12/14/2012 09:00:00 PM,069XX S ARTESIAN AVE,0890,THEFT,FROM BUILDING,APARTMENT,False,False,832,8.0,17.0,66.0,06,1161239.0,1858606.0,2012,02/04/2016 06:33:39 AM,41.767693989,-87.684546176,"(41.767693989, -87.684546176)"
3473126,10266742,HY454083,10/08/2015 11:35:00 AM,019XX W 59TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,714,7.0,15.0,67.0,08A,1164269.0,1865533.0,2015,10/15/2015 03:57:16 PM,41.786639341,-87.67324494,"(41.786639341, -87.67324494)"
3031489,9419001,HW562656,12/07/2013 09:00:00 PM,001XX N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,111,1.0,42.0,32.0,06,1176352.0,1900927.0,2013,02/04/2016 06:33:39 AM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)"
3211347,9730756,HX380504,08/09/2014 12:38:00 PM,042XX S DR MARTIN LUTHER KING JR DR,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,213,2.0,3.0,38.0,24,1179557.0,1877160.0,2014,02/04/2016 06:33:39 AM,41.818209103,-87.616836043,"(41.818209103, -87.616836043)"
3360931,10070474,HY258882,05/13/2015 07:55:00 AM,010XX S OAKLEY BLVD,0580,STALKING,SIMPLE,STREET,False,True,1225,12.0,25.0,28.0,08A,1161205.0,1895442.0,2015,08/17/2015 03:03:40 PM,41.868777059,-87.683649921,"(41.868777059, -87.683649921)"
6127026,10657545,HZ407315,08/25/2016 09:55:00 PM,039XX W CHICAGO AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1112,11.0,27.0,23.0,08B,1150018.0,1905056.0,2016,09/01/2016 03:52:03 PM,41.895383921,-87.724469836,"(41.895383921, -87.724469836)"
3472354,10264548,HY452205,10/06/2015 06:15:00 PM,031XX W DOUGLAS BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1022,10.0,24.0,29.0,18,1155821.0,1893293.0,2015,10/13/2015 03:55:15 PM,41.86299009,-87.703473782,"(41.86299009, -87.703473782)"
3379953,10102671,HY291691,05/07/2015 09:00:00 AM,018XX S STATE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE,False,False,131,1.0,3.0,33.0,14,1176618.0,1891424.0,2015,08/17/2015 03:03:40 PM,41.857417366,-87.627187001,"(41.857417366, -87.627187001)"
3072564,9491040,HX145202,02/09/2014 03:30:00 PM,069XX S WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,322,3.0,6.0,69.0,08B,1177922.0,1859075.0,2014,02/04/2016 06:33:39 AM,41.76861938,-87.623381578,"(41.76861938, -87.623381578)"
